1,1602614103832,25608,1602614129440,dpsNodeAC,
2,1602614104097,25702,1602614129799,dpsNodeAC,
3,1602614104356,25623,1602614129979,dpsNodeAC,
4,1602614104635,25542,1602614130177,dpsNodeAC,
6,1602614105137,25201,1602614130338,dpsNodeAC,
7,1602614105399,25080,1602614130479,dpsNodeAC,
8,1602614105664,24914,1602614130578,dpsNodeAC,
9,1602614105922,24784,1602614130706,dpsNodeAC,
10,1602614106189,24594,1602614130783,dpsNodeAC,
5,1602614129487,1315,1602614130802,dpsNodeAC,
11,1602614106451,24441,1602614130892,dpsNodeAC,
12,1602614106713,24288,1602614131001,dpsNodeAC,
13,1602614106970,24202,1602614131172,dpsNodeAC,
14,1602614107233,24107,1602614131340,dpsNodeAC,
16,1602614107747,23734,1602614131481,dpsNodeAC,
17,1602614108003,23654,1602614131657,dpsNodeAC,
18,1602614108264,23482,1602614131746,dpsNodeAC,
19,1602614108520,23307,1602614131827,dpsNodeAC,
15,1602614131023,810,1602614131833,dpsNodeAC,
20,1602614108782,23137,1602614131919,dpsNodeAC,
21,1602614109038,22973,1602614132011,dpsNodeAC,
22,1602614109299,22849,1602614132148,dpsNodeAC,
23,1602614109555,22752,1602614132307,dpsNodeAC,
24,1602614109814,22579,1602614132393,dpsNodeAC,
26,1602614110323,22149,1602614132472,dpsNodeAC,
27,1602614110582,21998,1602614132580,dpsNodeAC,
28,1602614110852,21846,1602614132698,dpsNodeAC,
29,1602614111102,21777,1602614132879,dpsNodeAC,
30,1602614111363,21664,1602614133027,dpsNodeAC,
31,1602614111622,21495,1602614133117,dpsNodeAC,
32,1602614111887,21317,1602614133204,dpsNodeAC,
33,1602614112146,21209,1602614133355,dpsNodeAC,
34,1602614112401,21112,1602614133513,dpsNodeAC,
36,1602614112911,20737,1602614133648,dpsNodeAC,
37,1602614113170,20618,1602614133788,dpsNodeAC,
38,1602614113432,20490,1602614133922,dpsNodeAC,
39,1602614113689,20338,1602614134027,dpsNodeAC,
40,1602614113951,20236,1602614134187,dpsNodeAC,
25,1602614132015,2633,1602614134648,dpsNodeAC,
35,1602614134664,1381,1602614136045,dpsNodeAC,
